timestamp,park,apiId,status,wait
2026-06-06T15:59:28.396Z,TDL,077c390c-c214-40c4-83e9-93d8f8621141,CLOSED,
2026-06-06T15:59:28.396Z,TDL,05c7400b-866d-4d47-9cb1-8722fe6b22da,CLOSED,
2026-06-06T15:59:28.396Z,TDL,cf1e721e-ba51-4e48-a2bc-b07883091e88,CLOSED,
2026-06-06T15:59:28.396Z,TDL,02a96ff7-da13-48b5-b1a8-f29d9f6109fc,CLOSED,
2026-06-06T15:59:28.396Z,TDL,dfe25d8e-e234-4020-a261-30c6825d0680,CLOSED,
2026-06-06T15:59:28.396Z,TDL,83f11a48-0d22-4429-8e59-43fd611d6795,CLOSED,
2026-06-06T15:59:28.396Z,TDL,4f0b3416-0b0a-419b-ba8c-6ee00b7d7144,CLOSED,
2026-06-06T15:59:28.396Z,TDL,e3577b4a-f1d9-4ec5-aacf-b99977ea88c9,CLOSED,
2026-06-06T15:59:28.396Z,TDL,e76670f0-9f5f-4918-8491-9bf51e73a596,CLOSED,
2026-06-06T15:59:28.396Z,TDL,74f17654-ceb1-4f12-9c19-ce6ed0587f33,CLOSED,
2026-06-06T15:59:28.396Z,TDL,4ed6a812-df04-4aa8-acb9-c6b164dbb706,CLOSED,
2026-06-06T15:59:28.396Z,TDL,ca00a0e8-f069-4d0a-9d5e-10cb63010956,CLOSED,
2026-06-06T15:59:28.396Z,TDL,e0887415-3da2-458c-8b88-0691e6b8ab63,CLOSED,
2026-06-06T15:59:28.396Z,TDL,52eb0fc9-5853-49c8-8c72-1e5e83aae1c1,CLOSED,
2026-06-06T15:59:28.396Z,TDL,1fb05b7d-953a-4fa7-b7ed-db2eb62b85bf,CLOSED,
2026-06-06T15:59:28.396Z,TDL,8fce6b54-e3e4-40bb-a574-93c8327c3fab,CLOSED,
2026-06-06T15:59:28.396Z,TDL,a853aadd-2337-435a-b0a3-2c03db96e5e1,CLOSED,
2026-06-06T15:59:28.396Z,TDL,4876ec54-92ed-4b0c-8b1b-292bba89c61c,CLOSED,
